filename,originator,date,summary,category,suggested_filename
MetLife_June_26_2023.pdf,MetLife,2023-06-27,Dental benefits claim summary,home-insurance,20230627T110802--metlife-dental-benefits-claim-summary__home-insurance
Metlife_July_13_2023.pdf,MetLife,2023-07-13,Dental benefits explanation and claim summary,danville-home-insurance,20230713T110802--metlife-dental-benefits-explanation-and-claim-summary__danville-home-insurance
Mikhaila_Grade5_YearEnd_ReportCard.pdf,St. Isidore School,2023-06-05,Grade 5 Trimester Report Card,education-mikhaila,20230605T110802--st-isidore-school-grade-5-trimester-report-card__education-mikhaila
Mikhaila_Renaissance_Parent_Report_Q3_2023.pdf,RENAISSANCE,2023-05-10,Education reports (Star Reading and Star Math),education-mikhaila,20230510T110802--renaissance-education-reports-star-reading-and-star-math__education-mikhaila
Mikhaila_UltraSound_other_Test_Results.pdf,John Muir Health,2022-10-24,Medical ultrasound test results,medical-mikhaila,20221024T110802--john-muir-health-medical-ultrasound-test-results__medical-mikhaila
Platinum_Ownership.pdf,"PliTINUM OWNERS ASSOCIATION, INC.",07/05/23,Payment reminder letter,banking-danville-home,REVIEWDATET110802--plitinum-owners-association-inc-payment-reminder-letter__banking-danville-home
Platinum_Ownership_July_2023.pdf,"PLATINUM OWNERS ASSOCIATION, INC.",2023-07-05,Payment confirmation statement,danville-home,20230705T110802--platinum-owners-association-inc-payment-confirmation-statement__danville-home
RHCC_June_2023.pdf,Round Hill Country Club,2023-06-30,Country club statement,home-rental-sandiego,20230630T110802--round-hill-country-club-country-club-statement__home-rental-sandiego
RHCC_Statement_July_2023.pdf,Round Hill Country Club,2023-07-31,Country club statement,danville-home,20230731T110802--round-hill-country-club-country-club-statement__danville-home
SanRamon-Fire-District-Stephanie.pdf,SAN RAMON VALLEY FIRE PROTECTION DISTRICT,2023-01-30,Medical bill,home-medical,20230130T110802--san-ramon-valley-fire-protection-district-medical-bill__home-medical
SeaBreeze_August_01_2023.pdf,Seabreeze Management,2023-07-01,Homeowners' Association statement,home-sandiego,20230701T110802--seabreeze-management-homeowners-association-statement__home-sandiego
SeaBreeze_June_17_2023.pdf,De Mar Highlands Neighborhood Homeowners' Association,Unknown,HOA statement and payment instructions,rental-sandiego,REVIEWDATET110802--de-mar-highlands-neighborhood-homeowners-association-hoa-statement-and-payment-instructions__rental-sandiego
United Healthcare_Coverage_June_02_2023.pdf,United Healthcare,"June 2, 2023",Prior Authorization Approval for medical services,home-insurance-medical,20230602T110802--united-healthcare-prior-authorization-approval-for-medical-services__home-insurance-medical
