filename,originator,date,summary,category,suggested_filename
20221110_Save time and postage.. PAY.NUNE.pdf,"Platinum Owners Association, Inc.",2022-11-10,Annual Assessment Statement,home-rental-sandiego,20221110T105159--platinum-owners-association-inc-annual-assessment-statement__home-rental-sandiego
20221128_ااا1اا'أاا'اا1.pdf,GOLDEN STATE ORTHOPEDICS & SPINE,2023-01-02,Medical bill statement,danville-home-insurance-medical,20230102T105159--golden-state-orthopedics-spine-medical-bill-statement__danville-home-insurance-medical
20221130_STATEMENT.pdf,Round Hill Country Club,2022-11-30,Credit card statement,danville-home,20221130T105159--round-hill-country-club-credit-card-statement__danville-home
"20221214_12142022 CLARK S. TSAI, M.D. 2225 Port Ch!cago Hwy Conc.pdf",Dr. Clark S. Tsai,2022-12-14,Medical bill statement,home-insurance,20221214T105159--dr-clark-s-tsai-medical-bill-statement__home-insurance
20221218_001.pdf,GARDENCENTER&TOPSOIL,Unknown,Landscaping document,rental-sandiego,REVIEWDATET105157--gardencentertopsoil-landscaping-document__rental-sandiego
20221218_002.pdf,Ewing Irrigation,11/29/2022,Invoice from Ewing Irrigation for products and equipment,reviewcategory,20221129T105159--ewing-irrigation-invoice-from-ewing-irrigation-for-products-and-equipment__reviewcategory
20221218_003.pdf,Ewing,2022-12-29,Invoice for irrigation and landscaping equipment,home-rental-sandiego,20221229T105159--ewing-invoice-for-irrigation-and-landscaping-equipment__home-rental-sandiego
20221218_004.pdf,East Bluff N0.4 Community Association,2023-01-06,Annual Meeting and Board of Directors Election,reviewcategory,20230106T105159--east-bluff-n04-community-association-annual-meeting-and-board-of-directors-election__reviewcategory
20221218_2ẼÍ.pdf,VJHC,Unknown,Credit card statement,reviewcategory,REVIEWDATET105159--vjhc-credit-card-statement__reviewcategory
20221218_30.40.pdf,Palo Alto Medical Foundation,10/31/22,Medical bill for patient Nikolai Schlegel,medical,REVIEWDATET105159--palo-alto-medical-foundation-medical-bill-for-patient-nikolai-schlegel__medical
20221218_Account Summary.pdf,American Express,12/23/22,Credit card statement,danville-home,REVIEWDATET105159--american-express-credit-card-statement__danville-home
"20221218_C.NTRA COSTA TOPSOIL, INC. 5030 !mhoff Dr ٠Ma٢t!nez,CA.pdf","Contra Costa Topsoil, Inc.",Unknown,Weighing certificate,reviewcategory,REVIEWDATET105159--contra-costa-topsoil-inc-weighing-certificate__reviewcategory
20221218_CoĩĩienQ^BaẺ..pdf,Comerica,2022-11-21,Credit approval letter for home equity line of credit,banking-danville-home,20221121T105159--comerica-credit-approval-letter-for-home-equity-line-of-credit__banking-danville-home
20221218_EAST BLUFF N0.4 COMM^ITY ASSOCIATION.pdf,East Bluff No. 4 Community Association,2022-12-02,Annual Meeting of Members and Election of Directors,home-reviewcategory,20221202T105159--east-bluff-no-4-community-association-annual-meeting-of-members-and-election-of-directors__home-reviewcategory
20221218_HILLER AVIATION MUSEUM.pdf,Hiller Aviation Museum,2022-12-03,Membership renewal notice,home-membership-sandiego,20221203T105159--hiller-aviation-museum-membership-renewal-notice__home-membership-sandiego
20221218_HILLER AVIATION MUSEUM_001.pdf,Hiller Aviation Museum,2021-12-14,Aviation museum donation and educational appeal,home-sandiego,20211214T105159--hiller-aviation-museum-aviation-museum-donation-and-educational-appeal__home-sandiego
20221218_Lender's reqiiìreinents..pdf,Mortgage,2010-06,Mortgage Approval Letter,insurance,REVIEWDATET105159--mortgage-mortgage-approval-letter__insurance
20221218_MetLlfe.pdf,MetLife,"December 01, 2022",Dental benefits explanation,danville-home-insurance,20221201T105159--metlife-dental-benefits-explanation__danville-home-insurance
20221218_S1ص at.pdf,Sloat Topsoil,Unknown,Weighmaster certificate for topsoil delivery,reviewcategory,REVIEWDATET105159--sloat-topsoil-weighmaster-certificate-for-topsoil-delivery__reviewcategory
20221218_STANDARDS-BASED SKILLS ASSESSMENT.pdf,St. Isidore School,2021-2022,Student Progress Report,education-lucy,REVIEWDATET105159--st-isidore-school-student-progress-report__education-lucy
20221218_VỂSà.pdf,"Detailed Pest Control, LLC",2022-12-01,Pest control invoice and agreement,danville-home-sandiego,20221201T105159--detailed-pest-control-llc-pest-control-invoice-and-agreement__danville-home-sandiego
20221218_لمسئشج -.pdf,Adams,Unknown,Credit card statement,reviewcategory,REVIEWDATET105159--adams-credit-card-statement__reviewcategory
