filename,originator,date,summary,category,suggested_filename
"20220611_c& LMusic 2395 ВMonument Blvd Conco٢d, California 94520.pdf",c& L Music,8/11/2022,Lease extension offer for $65.97,danville-home,20220811T105159--c-l-music-lease-extension-offer-for-6597__danville-home
20220705_SíteDne.pdf,SiteOne Landscape Supply,07/05/2022,Invoice for emergency response supplies,rental,20220705T105159--siteone-landscape-supply-invoice-for-emergency-response-supplies__rental
20220714_SiteOne_001.pdf,SiteOne Landscape Supply,07/14/2022,Purchase order for products from SiteOne Landscape Supply,reviewcategory,20220714T105159--siteone-landscape-supply-purchase-order-for-products-from-siteone-landscape-supply__reviewcategory
20220714_SiteOne_002.pdf,SiteOne Landscape Supply,07/14/2022,Order summary for chemicals and emergency response products,home-stephanie,20220714T105159--siteone-landscape-supply-order-summary-for-chemicals-and-emergency-response-products__home-stephanie
20220831_My signature below constitutes my acknowledgement that.pdf,Sequoia Surglc¿! Pavillon,8/31/2022,Informed Consent for Operation and Medical Services,education-reviewcategory,20220831T105159--sequoia-surglc-pavillon-informed-consent-for-operation-and-medical-services__education-reviewcategory
20220909_2ND.pdf,Contra Costa County Treasurer-Tax Collector,2022-09-09,Secured Property Tax Bill for SCHLEGEL NIKOLAI & STEPHANIE K,creditcard-danville-home-insurance,20220909T105159--contra-costa-county-treasurer-tax-collector-secured-property-tax-bill-for-schlegel-nikolai-stephanie-k__creditcard-danville-home-insurance
20220927_STATEMENT.pdf,DONALD SCHMITT,2022-09-27,Health insurance statement with balance and charges,creditcard-danville-insurance-reviewcategory,20220927T105159--donald-schmitt-health-insurance-statement-with-balance-and-charges__creditcard-danville-insurance-reviewcategory
20221003_SiteOne_001.pdf,SiteOne,2022-10-03,Sales invoice for Zmora Garden Service,reviewcategory,20221003T105159--siteone-sales-invoice-for-zmora-garden-service__reviewcategory
20221028_STATEMENT.pdf,DONALD SCHMITT,2022-01-29,Medical statement and billing,danville-home-insurance,20220129T105159--donald-schmitt-medical-statement-and-billing__danville-home-insurance
"20221028_٠ا,اا٠ا«ا,,,٠٠,ا,٠اااا٠٠اااا٠ا٠ا!ا٠اااااااا٠٠,ااا٠ا٠اا٠.pdf",GOLDEN STATE ORTHOPEDICS & SPINE,12/01/2022,Orthopedic statement and payment details,home-sandiego,20221201T105159--golden-state-orthopedics-spine-orthopedic-statement-and-payment-details__home-sandiego
20221110_Save time and postage.. PAY.NUNE.pdf,"Platinum Owners Association, Inc.",11/10/2022,Annual assessment statement with payment schedule and due dates,home-rental-unknown,20221110T105159--platinum-owners-association-inc-annual-assessment-statement-with-payment-schedule-and-due-dates__home-rental-unknown
20221128_ااا1اا'أاا'اا1.pdf,GOLDEN STATE ORTHOPEDICS & SPINE,01/02/2023,Patient billing statement with payment details,danville-home-medical,20230102T105159--golden-state-orthopedics-spine-patient-billing-statement-with-payment-details__danville-home-medical
20221130_STATEMENT.pdf,Round Hill Country Club,2022-11-30,Monthly statement for Nikolla and Stephanie Schlegel,danville-home,20221130T105159--round-hill-country-club-monthly-statement-for-nikolla-and-stephanie-schlegel__danville-home
"20221214_12142022 CLARK S. TSAI, M.D. 2225 Port Ch!cago Hwy Conc.pdf","CLARK S. TSAI, M.D.",12/14/2022,Medical billing statement from Dr. Clark S. Tsai,creditcard-home-sandiego,20221214T105159--clark-s-tsai-md-medical-billing-statement-from-dr-clark-s-tsai__creditcard-home-sandiego
20221218_001.pdf,GARDENCENTER&TOPSOIL,Unknown,Delivery terms and conditions,reviewcategory,REVIEWDATET105157--gardencentertopsoil-delivery-terms-and-conditions__reviewcategory
20221218_002.pdf,Ewing Irrigation,11/29/2022,Invoice for goods and services,creditcard-finance-reviewcategory,20221129T105159--ewing-irrigation-invoice-for-goods-and-services__creditcard-finance-reviewcategory
20221218_003.pdf,"Ewing Irrigation Products, Inc.",09/29/2022,Invoice for irrigation equipment and supplies,education-reviewcategory,20220929T105159--ewing-irrigation-products-inc-invoice-for-irrigation-equipment-and-supplies__education-reviewcategory
20221218_004.pdf,EAST BLUFF N0.4 COMMUNITY ASSOCIATION,"January 6, 2023",Official ballot for annual meeting election of directors,reviewcategory,20230106T105159--east-bluff-n04-community-association-official-ballot-for-annual-meeting-election-of-directors__reviewcategory
20221218_2ẼÍ.pdf,LìJẩữ-Chootcì,Unknown,Current account statement,reviewcategory,REVIEWDATET105159--lìjẩữ-chootcì-current-account-statement__reviewcategory
20221218_30.40.pdf,Palo Alto Medical Foundation,10/31/22,Medical bill for Nikolai Schlegel,creditcard-insurance-medical-reviewcategory,REVIEWDATET105159--palo-alto-medical-foundation-medical-bill-for-nikolai-schlegel__creditcard-insurance-medical-reviewcategory
20221218_Account Summary.pdf,American Express,12/23/22,Personal Loan Payment Summary,danville-home-sandiego,REVIEWDATET105159--american-express-personal-loan-payment-summary__danville-home-sandiego
"20221218_C.NTRA COSTA TOPSOIL, INC. 5030 !mhoff Dr ٠Ma٢t!nez,CA.pdf","Contra Costa Topsoil, Inc.",Unknown,Weight and measurement certificate,reviewcategory,REVIEWDATET105159--contra-costa-topsoil-inc-weight-and-measurement-certificate__reviewcategory
20221218_CoĩĩienQ^BaẺ..pdf,Comerica Bank,2022-11-21,Home Equity Line of Credit approval letter,creditcard-danville-home,20221121T105159--comerica-bank-home-equity-line-of-credit-approval-letter__creditcard-danville-home
20221218_EAST BLUFF N0.4 COMM^ITY ASSOCIATION.pdf,EAST BLUFF N0.4 COMM^ITY ASSOCIATION,2022-12-02,Annual Meeting of Members and Election of Directors,associationsandiego-reviewcategory,20221202T105159--east-bluff-n04-commity-association-annual-meeting-of-members-and-election-of-directors__associationsandiego-reviewcategory
20221218_HILLER AVIATION MUSEUM.pdf,Hiller Aviation Museum,2022-12-03,Renew museum membership,danville-home-museum-sandiego,20221203T105159--hiller-aviation-museum-renew-museum-membership__danville-home-museum-sandiego
20221218_HILLER AVIATION MUSEUM_001.pdf,Hiller Aviation Museum,"December 14, 2021","Annual campaign letter from Grumman HU-16C Albatross, a museum aircraft",education-home-mikhaila-sandiego,20211214T105159--hiller-aviation-museum-annual-campaign-letter-from-grumman-hu-16c-albatross-a-museum-aircraft__education-home-mikhaila-sandiego
20221218_Lender's reqiiìreinents..pdf,Mortgage,2010-06-01,Mortgage approval letter with requirements,creditcard-insurance-reviewcategory,20100601T105159--mortgage-mortgage-approval-letter-with-requirements__creditcard-insurance-reviewcategory
20221218_MetLlfe.pdf,Metropolitan life Insurance Company,2022-01-28,Dental benefits explanation and claim summary,danville-health-insurance,20220128T105159--metropolitan-life-insurance-company-dental-benefits-explanation-and-claim-summary__danville-health-insurance
20221218_S1ص at.pdf,Sloat Topsoil,Unknown,Weighmaster certificate for topsoil delivery,reviewcategory,REVIEWDATET105159--sloat-topsoil-weighmaster-certificate-for-topsoil-delivery__reviewcategory
20221218_STANDARDS-BASED SKILLS ASSESSMENT.pdf,St. Isidore School,2021-2022 School Year,"Student progress report for Mikhaila Schlegel, grade 4",mikhaila-reviewcategory,REVIEWDATET105159--st-isidore-school-student-progress-report-for-mikhaila-schlegel-grade-4__mikhaila-reviewcategory
20221218_VỂSà.pdf,"Detailed Pest Control, LLC",12/09/22,Invoice for pest control services,education-home-sandiego,REVIEWDATET105159--detailed-pest-control-llc-invoice-for-pest-control-services__education-home-sandiego
20221218_لمسئشج -.pdf,Adams · DC5812,Unknown,Statement,reviewcategory,REVIEWDATET105159--adams-dc5812-statement__reviewcategory
